Site_Id,Unit_Id,Read_Date,Salinity (ppt),Dissolved Oxygen (mg/L),pH (standard units),Secchi Depth (m),Water Depth (m),Water Temp (?C),Air Temp-Celsius,Air Temp (?F),Time (24:00),Field_Tech,DateVerified,WhoVerified,AirTemp (C),Year
Bay,,2001-09-18,3.5,4.6,7.7,0.15,0.15,23,,78,0:00,S. Poe,,,25.55555556,2001
Bay,,2001-10-02,3,4.2,,0.15,0.15,22,,72.9,21:36,S. Poe,,,22.72222222,2001
Bay,,2001-10-22,3,4.6,8.6,0.6,0.6,19,,67.3,7:12,S. Poe,,,19.61111111,2001
Bay,,2001-11-06,3,5.5,9.5,0.25,0.25,13,,52.9,21:36,S. Poe,,,11.61111111,2001
Bay,,2001-11-20,3.5,3.8,,0.3,0.35,15,,52,0:00,S. Poe,,,11.11111111,2001
Bay,,2001-12-04,,,8.4,0.3,0.35,16,,54.3,7:12,S. Poe,,,12.38888889,2001
A,,2002-01-10,3,,7.7,1,1,7,,55,0:00,Not Recorded,,,12.77777778,2002
A,,2002-01-22,3,2.7,7.8,0.8,1.3,9,,51,0:00,Not Recorded,,,10.55555556,2002
A,,2002-02-11,2,,8.4,0.85,1.35,10,,,,Not Recorded,,,-17.77777778,2002
A,,2002-02-26,2,7.6,8.2,1.15,1.15,12,,59,0:00,Not Recorded,,,15,2002
A,,2002-03-28,1,,,0.7,1,13,,45,0:00,Not Recorded,,,7.222222222,2002
A,,2002-04-17,2,,7.5,0.55,1,28,,83,0:00,Not Recorded,,,28.33333333,2002
A,,2002-04-30,1,2.3,7.5,0.4,1.1,22,,60,0:00,Not Recorded,,,15.55555556,2002
A,,2002-05-16,,,7.5,0.3,0.9,,,68,0:00,Not Recorded,,,20,2002
A,,2002-05-28,1,,7,0.5,0.9,26,,72,0:00,Not Recorded,,,22.22222222,2002
A,,2002-06-11,2,4.2,7,0.7,0.7,26,,72,0:00,Not Recorded,,,22.22222222,2002
A,,2002-06-24,,,7,0.9,0.9,,,83,0:00,Not Recorded,,,28.33333333,2002
A,,2002-07-08,2,,7,0.65,0.7,,,74,0:00,Not Recorded,,,23.33333333,2002
A,,2002-07-23,3,,7.5,0.3,0.3,,,84,0:00,Not Recorded,,,28.88888889,2002
A,,2002-08-01,2,,7,0.5,0.7,,,87,0:00,Not Recorded,,,30.55555556,2002
A,,2002-08-22,5,,7,0.5,0.6,,,82,0:00,Not Recorded,,,27.77777778,2002
A,,2002-09-05,0,4.5,7,0.6,0.8,26,,81,0:00,Not Recorded,,,27.22222222,2002
A,,2002-09-20,2,,7,0.6,0.8,,,82,0:00,Not Recorded,,,27.77777778,2002
A,,2002-10-18,0,,6.5,0.55,0.85,,,60,0:00,Not Recorded,,,15.55555556,2002
A,,2002-10-31,1,6.4,,1.5,1.5,10.5,,48,0:00,Not Recorded,,,8.888888889,2002
A,,2002-11-15,0,,6.5,,2.4,13,,57,N/A,Not Recorded,,,13.88888889,2002
A,,2002-12-06,2,7.7,7,0.5,1,5,,38,0:00,Not Recorded,,,3.333333333,2002
A,,2002-12-16,0,,7,0.8,0.8,7.5,,,N/A,Not Recorded,,,-17.77777778,2002
B,,2002-01-10,3.4,,7.5,0.3,0.3,10,,55,0:00,Not Recorded,,,12.77777778,2002
B,,2002-01-22,2.5,7.2,7.9,0.45,0.45,8,,50,0:00,Not Recorded,,,10,2002
B,,2002-02-11,2,,8.2,0.45,0.45,12,,,0:00,Not Recorded,,,-17.77777778,2002
B,,2002-02-26,3,7.8,8.2,0.45,0.45,12,,58,0:00,Not Recorded,,,14.44444444,2002
B,,2002-03-28,2,,,0.55,0.55,12,,45,0:00,Not Recorded,,,7.222222222,2002
B,,2002-04-17,2,4.2,8,0.1,0.2,27,,83,0:00,Not Recorded,,,28.33333333,2002
B,,2002-04-30,2,3.4,8.5,0.5,0.5,18,,60,0:00,Not Recorded,,,15.55555556,2002
B,,2002-05-16,,,9,0.1,0.1,,,68,0:00,Not Recorded,,,20,2002
B,,2002-05-28,3,,8.5,0.2,0.2,24,,72,0:00,Not Recorded,,,22.22222222,2002
B,,2002-06-11,3,3.3,7,0.1,0.1,25,,71,0:00,Not Recorded,,,21.66666667,2002
B,,2002-06-24,1,,7,0.1,0.35,,,83,0:00,Not Recorded,,,28.33333333,2002
B,,2002-07-08,3,3.2,,0.3,0.35,,,73,0:00,Not Recorded,,,22.77777778,2002
B,,2002-07-23,4,,7,0.2,0.2,,,75.2,4:48,Not Recorded,,,24,2002
B,,2002-08-01,3,,7,0.25,0.25,,,87,0:00,Not Recorded,,,30.55555556,2002
B,,2002-08-22,4,,9,0.1,0.1,,,82,0:00,Not Recorded,,,27.77777778,2002
B,,2002-09-05,0,3.5,7.5,0.28,0.3,27,,81,0:00,Not Recorded,,,27.22222222,2002
B,,2002-09-20,2,,8,0.1,0.1,,,82,0:00,Not Recorded,,,27.77777778,2002
B,,2002-10-18,1,,6.5,0.3,0.3,,,60,0:00,Not Recorded,,,15.55555556,2002
B,,2002-11-15,0,,7.5,,2.6,14,,56,0:00,Not Recorded,,,13.33333333,2002
B,,2002-12-16,0,,7,,,7.5,,,N/A,Not Recorded,,,-17.77777778,2002
C,,2002-01-10,3,6.8,7,0.4,0.4,9.5,,54,0:00,Not Recorded,,,12.22222222,2002
C,,2002-01-22,2.5,,7.9,0.45,0.45,8,,50,0:00,Not Recorded,,,10,2002
C,,2002-02-11,2,8.4,8.2,0.6,0.6,12,,,0:00,Not Recorded,,,-17.77777778,2002
C,,2002-02-26,2,,8.1,0.5,0.5,11,,57,0:00,Not Recorded,,,13.88888889,2002
C,,2002-03-28,2.5,7.7,,0.6,0.6,11.5,,45,0:00,Not Recorded,,,7.222222222,2002
C,,2002-04-17,1,,8,0.5,0.5,26,,82,N/A,Not Recorded,,,27.77777778,2002
C,,2002-04-30,1,,8,0.3,0.3,22,,59,N/A,Not Recorded,,,15,2002
C,,2002-05-16,,5.7,8.5,0.25,0.25,,,65,0:00,Not Recorded,,,18.33333333,2002
C,,2002-05-28,3.5,4.6,8,0.2,0.2,25,,70,0:00,Not Recorded,,,21.11111111,2002
C,,2002-06-11,2.9,,8,2.5,2.5,25,,71,0:00,Not Recorded,,,21.66666667,2002
C,,2002-06-24,3,3.8,8.5,0.2,0.2,28,,83,0:00,Not Recorded,,,28.33333333,2002
C,,2002-07-08,0,,9,0.35,0.35,,,73,N/A,Not Recorded,,,22.77777778,2002
C,,2002-07-23,4,3.3,7,0.2,0.2,,,84,0:00,Not Recorded,,,28.88888889,2002
C,,2002-08-01,3,,7,0.25,0.25,,,87,0:00,Not Recorded,,,30.55555556,2002
C,,2002-08-22,4,4.7,7,0.1,0.1,,,82,0:00,Not Recorded,,,27.77777778,2002
C,,2002-09-05,0,,8.5,0.35,0.35,28,,81,0:00,Not Recorded,,,27.22222222,2002
C,,2002-09-20,0,3.5,8,0.2,0.2,,,82,0:00,Not Recorded,,,27.77777778,2002
C,,2002-10-18,1,6.7,7,0.6,0.6,,,60,0:00,Not Recorded,,,15.55555556,2002
C,,2002-10-31,1,,7,,,10.3,,49,0:00,Not Recorded,,,9.444444444,2002
C,,2002-11-15,0,5.8,7,,,18,,56,0:00,Not Recorded,,,13.33333333,2002
C,,2002-12-06,2,,7,0.5,0.5,5,,38,0:00,Not Recorded,,,3.333333333,2002
C,,2002-12-16,0,5.6,7,0.7,0.7,7.5,,,12:00,Not Recorded,,,-17.77777778,2002
D,,2002-01-10,0,10,6.8,1.4,1.4,9,,52,0:00,Not Recorded,,,11.11111111,2002
D,,2002-01-22,0,,8.9,1.3,1.4,9,,50,0:00,Not Recorded,,,10,2002
D,,2002-02-11,0,8.3,9.6,1.3,1.45,11,,,0:00,Not Recorded,,,-17.77777778,2002
D,,2002-02-26,0,,9.2,1.25,1.35,11,,57,0:00,Not Recorded,,,13.88888889,2002
D,,2002-03-28,0,7.8,,0.8,1.5,12,,45,0:00,Not Recorded,,,7.222222222,2002
D,,2002-04-17,0,,6,0.1,0.4,25,,82,0:00,Not Recorded,,,27.77777778,2002
D,,2002-04-30,0,,6,0.6,1.4,21,,60,0:00,Not Recorded,,,15.55555556,2002
D,,2002-05-16,0,3.9,,0.9,1.5,18,,64,0:00,Not Recorded,,,17.77777778,2002
D,,2002-05-28,0,6.1,6.5,0.3,1.3,24,,70,0:00,Not Recorded,,,21.11111111,2002
D,,2002-06-11,0,,6.5,0.2,1.4,25,,71,0:00,Not Recorded,,,21.66666667,2002
D,,2002-06-24,,4,6.5,0.15,1.35,,,82,0:00,Not Recorded,,,27.77777778,2002
D,,2002-07-08,0,,6.5,0.55,0.7,,,74,0:00,Not Recorded,,,23.33333333,2002
D,,2002-07-23,0,5,7,0.85,1.2,,,83,0:00,Not Recorded,,,28.33333333,2002
D,,2002-08-01,2,,7.5,0.6,1.3,,,85,0:00,Not Recorded,,,29.44444444,2002
D,,2002-08-22,0,1.2,,0.3,0.95,,,80,0:00,Not Recorded,,,26.66666667,2002
D,,2002-09-05,0,,7,0.75,1.75,26.5,,81,0:00,Not Recorded,,,27.22222222,2002
D,,2002-09-20,0,4.2,7,0.7,1.2,26,,81,0:00,Not Recorded,,,27.22222222,2002
D,,2002-10-18,0,5.3,6.5,0.65,1.5,,,58,0:00,Not Recorded,,,14.44444444,2002
D,,2002-10-31,0,,6.5,,,10.3,,49,0:00,Not Recorded,,,9.444444444,2002
D,,2002-11-15,0,6.1,6.5,,,14,,54,0:00,Not Recorded,,,12.22222222,2002
D,,2002-12-06,1,,6.5,0.75,1.4,48,,38,0:00,Not Recorded,,,3.333333333,2002
D,,2002-12-16,0,5.2,6,1.1,1.35,6.5,,,12:00,Not Recorded,,,-17.77777778,2002
Bay,,2002-01-10,3,7.5,6.9,0.2,0.55,,,51.2,4:48,S. Poe,,,10.66666667,2002
Bay,,2002-01-22,3,9,9,0.3,0.35,59,,49.9,21:36,S. Poe,,,9.944444444,2002
Bay,,2002-02-11,3,5.7,9.9,0.1,0.3,12,,,,S. Poe,,,-17.77777778,2002
Bay,,2002-02-26,3,7.6,9.2,0.3,0.35,11,,57,0:00,S. Poe,,,13.88888889,2002
Bay,,2002-03-28,3,8.3,,0.25,0.35,12,,45,0:00,S. Poe,,,7.222222222,2002
Bay,,2002-04-17,3,4.4,7.5,0.3,0.7,25,,80,0:00,S. Poe,,,26.66666667,2002
Bay,,2002-04-30,3,7.3,7.5,0.4,0.65,18.5,,58,0:00,S. Poe,,,14.44444444,2002
Bay,,2002-05-16,2.5,8.3,7.5,0.2,0.7,20,,62,0:00,S. Poe,,,16.66666667,2002
Bay,,2002-05-28,3,4.5,7.5,0.3,0.55,24,,70,0:00,S. Poe,,,21.11111111,2002
Bay,,2002-06-11,3,5.9,8.5,0.3,0.65,23.5,,70,0:00,S. Poe,,,21.11111111,2002
Bay,,2002-06-24,4,5.1,7.5,0.4,0.75,27,,82,0:00,S. Poe,,,27.77777778,2002
Bay,,2002-07-08,4,3.5,8,0.4,0.4,,,73,0:00,S. Poe,,,22.77777778,2002
Bay,,2002-07-23,4,4.2,7.5,0.4,0.6,,,83,0:00,S. Poe,,,28.33333333,2002
Bay,,2002-08-01,4,4.2,7.5,0.6,0.6,,,85,0:00,S. Poe,,,29.44444444,2002
Bay,,2002-08-22,4,4,7.5,0.4,0.4,,,80,0:00,S. Poe,,,26.66666667,2002
Bay,,2002-09-05,3,6.5,7.5,0.5,0.7,27,,80,0:00,S. Poe,,,26.66666667,2002
Bay,,2002-09-20,4,4.5,7,0.4,0.5,,,81,0:00,S. Poe,,,27.22222222,2002
Bay,,2002-10-18,3,5,7,0.35,0.7,,,58,0:00,S. Poe,,,14.44444444,2002
Bay,,2002-10-31,4,6.3,7.5,0.5,0.5,10,,47.8,19:12,S. Poe,,,8.777777778,2002
Bay,,2002-11-15,0,8.1,7,,,12,,54,0:00,S. Poe,,,12.22222222,2002
Bay,,2002-12-06,2,9.6,7,0.1,0.1,5,,37,0:00,S. Poe,,,2.777777778,2002
Bay,,2002-12-16,2,6.8,7,0.3,0.6,7.5,,49,0:00,S. Poe,,,9.444444444,2002
A,,2003-01-03,0,8.1,6.5,0.9,1.1,15,,53,0:00,Not Recorded,,,11.66666667,2003
A,,2003-02-03,0,,6.5,0.5,1.1,6,,50,0:00,Not Recorded,,,10,2003
A,,2003-02-20,0,,6.5,0.8,1.35,7,,43,0:00,Not Recorded,,,6.111111111,2003
A,,2003-03-06,1,,6.5,0.8,1.4,14,,58,0:00,Not Recorded,,,14.44444444,2003
A,,2003-03-20,1,6.4,6.5,0.6,1,12,,53,0:00,Not Recorded,,,11.66666667,2003
A,,2003-04-21,0,,5.5,0.3,0.8,17,,67,0:00,Not Recorded,,,19.44444444,2003
A,,2003-05-01,0,3.9,6.5,0.45,1.15,23,,75,0:00,Not Recorded,,,23.88888889,2003
A,,2003-05-22,1,,6.5,0.5,0.8,,,60.4,9:36,Not Recorded,,,15.77777778,2003
A,,2003-06-05,0,4.7,6.5,0.5,0.85,24,,70,0:00,Not Recorded,,,21.11111111,2003
A,,2003-06-20,0,,6.5,0.4,1.1,25,,73,0:00,Not Recorded,,,22.77777778,2003
A,,2003-07-01,0,2.7,6.5,0.4,1,28,,76.5,12:00,Not Recorded,,,24.72222222,2003
A,,2003-07-17,0,,7,0.6,0.85,29,,76,0:00,Not Recorded,,,24.44444444,2003
A,,2003-08-07,0,3,6.5,0.45,1,25,,80.6,14:24,Not Recorded,,,27,2003
A,,2003-09-04,0,,6.5,0.8,0.9,29,,83,0:00,Not Recorded,,,28.33333333,2003
A,,2003-10-02,0,5.6,6.5,0.6,0.9,20,,64,0:00,Not Recorded,,,17.77777778,2003
A,,2003-10-23,,,,0.5,0.8,,,58,N/A,Not Recorded,,,14.44444444,2003
A,,2003-11-06,0,2.9,6.5,0.1,0.8,24,,76,0:00,Not Recorded,,,24.44444444,2003
A,,2003-11-20,1,,7.5,0.5,0.7,14,,56,0:00,Not Recorded,,,13.33333333,2003
A,,2003-12-01,1,8.1,7,0.45,0.8,,,59,0:00,Not Recorded,,,15,2003
A,,2003-12-15,2,,7,0.7,0.95,9,,48,0:00,Not Recorded,,,8.888888889,2003
B,,2003-01-03,0,6.6,7,0.2,0.2,13,,53,0:00,Not Recorded,,,11.66666667,2003
B,,2003-02-03,0,,7,0.5,0.5,6,,50,0:00,Not Recorded,,,10,2003
B,,2003-02-20,0,6.4,7.5,0.5,0.5,7,,44,0:00,Not Recorded,,,6.666666667,2003
B,,2003-03-06,1,,7.5,0.48,0.48,15,,58,0:00,Not Recorded,,,14.44444444,2003
B,,2003-03-20,2,3.2,,0.3,0.3,12,,33,0:00,Not Recorded,,,0.555555556,2003
B,,2003-04-21,0,,7.5,0.3,0.3,20,,67,0:00,Not Recorded,,,19.44444444,2003
B,,2003-05-01,0,7.3,7.5,0.6,0.6,25,,76,0:00,Not Recorded,,,24.44444444,2003
B,,2003-06-05,0,8.5,9.5,0.1,0.1,25.1,,72,0:00,Not Recorded,,,22.22222222,2003
B,,2003-06-20,0,,7,0.2,0.2,26,,73,0:00,Not Recorded,,,22.77777778,2003
B,,2003-07-01,0,3.6,,0.3,0.3,26,,77,0:00,Not Recorded,,,25,2003
B,,2003-07-17,0,,7.5,0.1,0.1,28,,76,0:00,Not Recorded,,,24.44444444,2003
B,,2003-08-07,0,3.2,7,0.2,0.2,25,,77,0:00,Not Recorded,,,25,2003
B,,2003-09-04,0,,7.5,0.1,0.1,29,,83,0:00,Not Recorded,,,28.33333333,2003
B,,2003-10-02,0.5,5.5,7,0.15,0.15,18,,64,0:00,Not Recorded,,,17.77777778,2003
B,,2003-10-23,1,,8,0.2,0.2,11,,58,0:00,Not Recorded,,,14.44444444,2003
B,,2003-11-06,1,4.7,7,0.15,0.15,25,,76,0:00,Not Recorded,,,24.44444444,2003
B,,2003-11-20,1,,8,0.2,0.2,13.5,,56,0:00,Not Recorded,,,13.33333333,2003
B,,2003-12-01,1,8.8,7.5,0.75,0.2,12,,58,0:00,Not Recorded,,,14.44444444,2003
B,,2003-12-15,2,,7,0.3,0.3,9,,48,0:00,Not Recorded,,,8.888888889,2003
C,,2003-01-03,0,,7,0.55,0.55,13,,53,0:00,Not Recorded,,,11.66666667,2003
C,,2003-02-03,0,,7,0.6,0.6,6,,50,0:00,Not Recorded,,,10,2003
C,,2003-02-20,0,,7,0.8,0.8,7,,45,0:00,Not Recorded,,,7.222222222,2003
C,,2003-03-06,1,3.2,7,0.7,0.7,14,,58,0:00,Not Recorded,,,14.44444444,2003
C,,2003-03-20,2,,7,0.4,0.4,12,,53,0:00,Not Recorded,,,11.66666667,2003
C,,2003-04-21,0,5.6,7,0.4,0.4,18,,65,0:00,Not Recorded,,,18.33333333,2003
C,,2003-05-01,1,,7,0.4,0.4,24,,76,0:00,Not Recorded,,,24.44444444,2003
C,,2003-05-22,1,3.3,7,0.7,0.7,,,60,0:00,Not Recorded,,,15.55555556,2003
C,,2003-06-05,0,,7,4,4,,,72,0:00,Not Recorded,,,22.22222222,2003
C,,2003-06-20,0,4.5,7,0.5,0.5,24,,73,0:00,Not Recorded,,,22.77777778,2003
C,,2003-07-01,0,,7.5,0.3,0.3,27,,77,0:00,Not Recorded,,,25,2003
C,,2003-07-17,0,4.7,7,0.35,0.35,28,,75,0:00,Not Recorded,,,23.88888889,2003
C,,2003-08-07,0,,7,0.5,0.5,25,,77,0:00,Not Recorded,,,25,2003
C,,2003-09-04,0,4.7,7,0.15,0.15,27,,83,0:00,Not Recorded,,,28.33333333,2003
C,,2003-10-02,1,,7,0.6,0.6,20,,64,0:00,Not Recorded,,,17.77777778,2003
C,,2003-10-23,1,5.6,7.5,0.15,0.15,14,,58,0:00,Not Recorded,,,14.44444444,2003
C,,2003-11-06,1,,7,0.3,0.3,24,,76,0:00,Not Recorded,,,24.44444444,2003
C,,2003-11-20,,7.6,7.5,0.2,0.2,,,56,0:00,Not Recorded,,,13.33333333,2003
C,,2003-12-01,1,,7.5,0.25,0.25,13,,59,0:00,Not Recorded,,,15,2003
C,,2003-12-15,,6.8,7,0.5,0.5,8,,48,0:00,Not Recorded,,,8.888888889,2003
D,,2003-01-03,0,,6.5,1,1.9,12,,53,0:00,Not Recorded,,,11.66666667,2003
D,,2003-02-03,0,7.4,6,1.2,1.5,6,,46,0:00,Not Recorded,,,7.777777778,2003
D,,2003-02-20,,,6.5,,,7,,45,0:00,Not Recorded,,,7.222222222,2003
D,,2003-03-06,1,8.7,6.5,0.7,1.5,,,58,0:00,Not Recorded,,,14.44444444,2003
D,,2003-03-20,2,,6,1.2,1.4,12,,53,0:00,Not Recorded,,,11.66666667,2003
D,,2003-04-21,0,6.8,,1.1,1.5,16,,65,0:00,Not Recorded,,,18.33333333,2003
D,,2003-05-01,0,,6.5,1,1.5,25,,75,0:00,Not Recorded,,,23.88888889,2003
D,,2003-05-22,0,5.8,6.5,0.8,1.5,,,60.4,9:36,Not Recorded,,,15.77777778,2003
D,,2003-06-05,0,,6.5,0.3,1.5,25,,72,0:00,Not Recorded,,,22.22222222,2003
D,,2003-06-20,0,4.3,6,0.5,1.5,25,,72.7,16:48,Not Recorded,,,22.61111111,2003
D,,2003-07-01,0,,6,0.4,1.4,27,,77,N/A,Not Recorded,,,25,2003
D,,2003-07-17,0,2.9,6.5,0.5,1.4,28,,75,0:00,Not Recorded,,,23.88888889,2003
D,,2003-08-07,1,,6.5,0.6,1.6,25,,77,0:00,Not Recorded,,,25,2003
D,,2003-09-04,0,4.7,6.5,0.5,1.5,28,,82,0:00,Not Recorded,,,27.77777778,2003
D,,2003-10-02,1,,6.5,0.5,1.6,19,,64,0:00,Not Recorded,,,17.77777778,2003
D,,2003-10-23,1,4.4,6.5,1.1,1.5,14,,57,0:00,Not Recorded,,,13.88888889,2003
D,,2003-11-20,1,6.5,6.5,1.2,1.4,14.5,,56,0:00,Not Recorded,,,13.33333333,2003
D,,2003-12-01,1,,6,1.5,1.5,11,,59,0:00,Not Recorded,,,15,2003
D,,2003-12-15,2,7.1,6,1.5,1.7,12,,48,0:00,Not Recorded,,,8.888888889,2003
Bay,,2003-01-03,0,5.1,7,0.3,0.6,14,,52,0:00,S. Poe,,,11.11111111,2003
Bay,,2003-02-03,0,6.6,7,0.4,0.4,7,,45.9,21:36,S. Poe,,,7.722222222,2003
Bay,,2003-02-20,0,,7,0.25,0.45,7,,43,0:00,S. Poe,,,6.111111111,2003
Bay,,2003-03-06,1,4.1,6.5,0.3,0.9,14,,59.9,21:36,S. Poe,,,15.5,2003
Bay,,2003-03-20,2,3.8,7,0.2,0.3,11,,52.9,21:36,S. Poe,,,11.61111111,2003
Bay,,2003-04-21,1,5.8,7,0.3,0.6,16,,64.9,21:36,S. Poe,,,18.27777778,2003
Bay,,2003-05-01,0,6.6,6.5,0.4,0.8,,,75,0:00,S. Poe,,,23.88888889,2003
Bay,,2003-05-22,2,6.3,6.5,0.3,0.5,20,,60.4,9:36,S. Poe,,,15.77777778,2003
Bay,,2003-06-05,2,6.8,6.5,0.4,0.8,,,69.3,7:12,S. Poe,,,20.72222222,2003
Bay,,2003-06-20,0,4.1,7,0.4,0.8,24,,72.1,2:24,S. Poe,,,22.27777778,2003
Bay,,2003-07-01,0,5.2,6.5,0.4,0.7,27,,26.5,12:00,S. Poe,,,-3.055555556,2003
Bay,,2003-07-17,0,3.8,6.5,0.4,0.8,26,,74,0:00,S. Poe,,,23.33333333,2003
Bay,,2003-08-07,0,7,7.2,0.5,0.9,25,,77,0:00,S. Poe,,,25,2003
Bay,,2003-09-04,4,3.7,7,0.5,0.75,27,,81.9,21:36,S. Poe,,,27.72222222,2003
Bay,,2003-10-02,1,6,6.5,0.5,0.7,,,64,0:00,S. Poe,,,17.77777778,2003
Bay,,2003-10-23,1,5.8,6.5,0.4,0.55,14,,57,0:00,S. Poe,,,13.88888889,2003
Bay,,2003-11-06,1,6.5,6.5,0.75,0.75,23,,76.3,7:12,S. Poe,,,24.61111111,2003
Bay,,2003-11-20,3,8.8,6.5,0.4,0.6,14,,56,0:00,S. Poe,,,13.33333333,2003
Bay,,2003-12-01,3,8.7,6.5,0.2,0.75,11,,58,0:00,S. Poe,,,14.44444444,2003
Bay,,2003-12-15,2,6.9,6,0.4,0.7,8,,47,0:00,S. Poe,,,8.333333333,2003
A,,2004-01-04,1,8.5,7,0.65,1.05,5,,33,0:00,Not Recorded,,,0.555555556,2004
A,,2004-01-20,2,,7,0.6,0.9,4,,40,0:00,Not Recorded,,,4.444444444,2004
A,,2004-02-05,1,7,7,0.8,1.1,60,,43,0:00,Not Recorded,,,6.111111111,2004
A,,2004-02-19,1,,7,0.7,1.2,8,,14.5,12:00,Not Recorded,,,-9.722222222,2004
A,,2004-03-04,0,7.5,7,1,1.2,16,,64,0:00,Not Recorded,,,17.77777778,2004
A,,2004-03-18,1,,7,1,1.2,10,,40,0:00,Not Recorded,,,4.444444444,2004
A,,2004-04-01,0,6.7,7,0.6,1,13,,54,0:00,Not Recorded,,,12.22222222,2004
A,,2004-04-16,1,,7,0.8,0.9,,,53,0:00,Not Recorded,,,11.66666667,2004
A,,2004-04-29,0,,7.5,0.7,0.7,22,,64,0:00,Not Recorded,,,17.77777778,2004
A,,2004-05-13,0,3.9,6,0.7,0.8,26,,77,0:00,Not Recorded,,,25,2004
A,,2004-06-03,0,,6.5,,,26,,81,0:00,Not Recorded,,,27.22222222,2004
A,,2004-06-17,0,2.9,6.5,0.5,0.5,26,,77,0:00,Not Recorded,,,25,2004
A,,2004-07-08,0,,6.5,1,1,29,,80,0:00,Not Recorded,,,26.66666667,2004
A,,2004-07-22,0,,6.5,0.5,1.5,30,,82,0:00,Not Recorded,,,27.77777778,2004
A,,2004-08-05,0,,6.5,0.95,1.15,30,,83,0:00,Not Recorded,,,28.33333333,2004
A,,2004-08-19,0,3,6.5,0.95,0.95,27,,80,0:00,Not Recorded,,,26.66666667,2004
A,,2004-09-02,0,,6.5,0.8,0.8,26,,80,0:00,Not Recorded,,,26.66666667,2004
A,,2004-09-16,0,3.6,6.5,0.4,0.8,26,,29,0:00,Not Recorded,,,-1.666666667,2004
A,,2004-10-01,1,,0.7,0.4,0.7,24,,72,0:00,Not Recorded,,,22.22222222,2004
A,,2004-10-21,1,,6.5,1,1.5,16,,63,0:00,Not Recorded,,,17.22222222,2004
A,,2004-11-05,0,,7,0.7,0.8,16,,57,0:00,Not Recorded,,,13.88888889,2004
A,,2004-11-18,0,8,7,0.6,0.6,10,,51,0:00,Not Recorded,,,10.55555556,2004
A,,2004-12-02,0,,7,1.6,1.8,13,,56,0:00,Not Recorded,,,13.33333333,2004
A,,2004-12-16,2,6.3,7,0.9,1,5,,34,0:00,Not Recorded,,,1.111111111,2004
B,,2004-01-04,1,8.5,7,0.2,0.2,4,,33,0:00,Not Recorded,,,0.555555556,2004
B,,2004-01-20,2,,8,0.2,0.2,3,,40,0:00,Not Recorded,,,4.444444444,2004
B,,2004-02-05,1,6.6,7,0.25,0.25,5,,43,0:00,Not Recorded,,,6.111111111,2004
B,,2004-02-19,1,,7,0.3,0.3,6.5,,10.5,12:00,Not Recorded,,,-11.94444444,2004
B,,2004-03-04,0,5.4,7,0.2,0.2,16,,65,0:00,Not Recorded,,,18.33333333,2004
B,,2004-03-18,1,,7,0.3,0.3,9,,43,0:00,Not Recorded,,,6.111111111,2004
B,,2004-04-01,1,7.2,8,0.3,0.3,13,,54,0:00,Not Recorded,,,12.22222222,2004
B,,2004-04-16,1,,8,0.2,0.2,13,,53,0:00,Not Recorded,,,11.66666667,2004
B,,2004-04-29,0,,8.5,0.1,0.1,22,,63,0:00,Not Recorded,,,17.22222222,2004
B,,2004-05-13,0,3.1,9,0.2,0.2,28,,26,0:00,Not Recorded,,,-3.333333333,2004
B,,2004-06-03,0,,8,0.1,0.1,27,,80,0:00,Not Recorded,,,26.66666667,2004
B,,2004-06-17,0,,7,0.1,0.1,26,,78,0:00,Not Recorded,,,25.55555556,2004
B,,2004-07-08,0,,7,0.2,0.2,29,,80,0:00,Not Recorded,,,26.66666667,2004
B,,2004-07-22,0,3.1,8,0.1,0.1,28.5,,81,0:00,Not Recorded,,,27.22222222,2004
B,,2004-08-05,0,,7,0.25,0.25,32,,83,0:00,Not Recorded,,,28.33333333,2004
B,,2004-08-19,0,2.8,6.5,0.2,0.2,28,,82,0:00,Not Recorded,,,27.77777778,2004
B,,2004-09-02,0,,6.5,0.1,0.1,26,,79,0:00,Not Recorded,,,26.11111111,2004
B,,2004-09-16,0,3.7,7,0.2,0.2,26,,29,0:00,Not Recorded,,,-1.666666667,2004
B,,2004-10-01,0,,8,0.15,0.15,23,,72,0:00,Not Recorded,,,22.22222222,2004
B,,2004-10-21,2,4.5,7,0.3,0.3,17,,63,0:00,Not Recorded,,,17.22222222,2004
B,,2004-11-05,0,,7,0.25,0.25,15,,58,0:00,Not Recorded,,,14.44444444,2004
B,,2004-11-18,0,5.3,7,0.2,0.2,11,,,,Not Recorded,,,-17.77777778,2004
B,,2004-12-02,1,,7.5,0.2,0.2,13,,55,0:00,Not Recorded,,,12.77777778,2004
B,,2004-12-16,4,5.7,7.5,0.2,0.2,4,,35,0:00,Not Recorded,,,1.666666667,2004
C,,2004-01-04,1,,7,0.5,0.5,5,,33,0:00,Not Recorded,,,0.555555556,2004
C,,2004-01-20,2,10,,0.5,0.5,3,,40,0:00,Not Recorded,,,4.444444444,2004
C,,2004-02-05,1,,7,0.6,0.6,7,,43,0:00,Not Recorded,,,6.111111111,2004
C,,2004-02-19,1,9.1,7,0.5,0.6,6,,11.5,12:00,Not Recorded,,,-11.38888889,2004
C,,2004-03-04,0,,7,0.6,0.6,17,,22,0:00,Not Recorded,,,-5.555555556,2004
C,,2004-03-18,1,6.7,7,0.6,0.6,10,,45,0:00,Not Recorded,,,7.222222222,2004
